,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Feature
126,"[-173.50, -46.50)",1452,0.10416068866571018,1445,7,0.0048209366391184574,1.884951132625286,0.17101111189926316,0.018685148371133768,TRD_B_24
127,"[-46.50, -9.50)",1569,0.11255380200860832,1554,15,0.009560229445506692,1.1955340109594488,0.09591965111607921,0.011323326322035726,TRD_B_24
128,"[-9.50, inf)",7682,0.5510760401721664,7499,183,0.02382192137464202,0.268035485594035,0.03498330532649802,0.004359869870066341,TRD_B_24
129,-999999,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,TRD_B_24
130,-999998,2094,0.15021520803443328,1929,165,0.07879656160458452,-0.9861917798607851,0.23672245053929244,0.028446627330152498,TRD_B_24
131,-999997,398,0.02855093256814921,338,60,0.1507537688442211,-1.7163019856050152,0.19598586260930828,0.021874534411885617,TRD_B_24
132,-999996,0,0.0,0,0,0.0,0.0,0.0,0.0,TRD_B_24
133,-999995,0,0.0,0,0,0.0,0.0,0.0,0.0,TRD_B_24
134,"(-1.0, 0.50)",8322,0.5969870875179341,7930,392,0.04710406152367219,-0.43785684402750213,0.14120738624482412,0.017511260732400058,SP_I_61_01
135,"[0.50, 32.50)",2669,0.19146341463414634,2647,22,0.008242787560884226,1.345136430002852,0.19490940995077374,0.02267846623071601,SP_I_61_01
136,"[32.50, 44.50)",1151,0.08256814921090387,1144,7,0.006081668114682885,1.6513727040184962,0.11302487761859453,0.012714053861434371,SP_I_61_01
137,"[44.50, inf)",1757,0.12604017216642754,1747,10,0.005691519635742743,1.7180668982740777,0.18232012038994877,0.020344876753201072,SP_I_61_01
138,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,SP_I_61_01
139,"(-1.0, 8.50)",1040,0.0746054519368723,1034,6,0.0057692307692307696,1.7044272669743856,0.10673200448456914,0.011929899617880933,TRD_O_16
140,"[8.50, 26.50)",1822,0.13070301291248207,1808,14,0.007683863885839737,1.41591589247093,0.14350888499301234,0.016575883947788632,TRD_O_16
141,"[26.50, inf)",5435,0.3898852223816356,5369,66,0.012143514259429623,0.9537388895302108,0.23300460425503047,0.02806957685196773,TRD_O_16
142,-3.0,5425,0.38916786226685796,5091,334,0.061566820276497694,-0.7209147579402981,0.2869832781810758,0.03511572581230793,TRD_O_16
