Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Feature
"[7110.00, 10525.00)",1998,0.1360479368105679,1917,81,0.04054054054054054,0.723680286663801,0.052891161550204145,0.006470800374774524,SP_F2_33
"[10525.00, inf)",1926,0.1311453084570339,1871,55,0.028556593977154723,1.0865078393322145,0.09971022288574447,0.01188476096308002,SP_F2_33
-2.0,2713,0.18473376004357892,2350,363,0.13380022115739035,-0.5726195288360505,0.07699047818636652,0.009494445688510211,SP_F2_33
-1.0,43,0.0029279586000272367,41,2,0.046511627906976744,0.5800375844349581,0.0007748016477522533,9.5514948628098e-05,SP_F2_33
"[0, 1421.50)",735,0.05004766444232602,611,124,0.16870748299319727,-0.8455719081428459,0.050838729776952155,0.006172041305080176,AFF_B_09_01
"[1421.50, 1614.50)",1538,0.10472558899632303,1307,231,0.15019505851755527,-0.707315298606976,0.07038591271559869,0.008619302680160396,AFF_B_09_01
"[1614.50, 1823.50)",1346,0.09165191338689908,1196,150,0.11144130757800892,-0.3642846612950832,0.014173981245738222,0.0017620156660357825,AFF_B_09_01
"[1823.50, 3080.50)",4391,0.2989922375051069,4033,358,0.08153040309724437,-0.018654493236736513,0.00010486462311841512,1.3107887831426916e-05,AFF_B_09_01
"[3080.50, 3223.50)",742,0.05052430886558627,685,57,0.07681940700808626,0.045980268718270434,0.00010477656301761152,1.3095916764517676e-05,AFF_B_09_01
"[3223.50, 3405.50)",881,0.05998910527032548,823,58,0.06583427922814983,0.21212588842124624,0.0024701048047521008,0.00030818550263772906,AFF_B_09_01
"[3405.50, 4176.50)",2856,0.19447092469018112,2735,121,0.04236694677871149,0.6777088675499359,0.06753631987473777,0.00828410535020804,AFF_B_09_01
"[4176.50, inf)",2154,0.14667029824322483,2078,76,0.035283194057567316,0.8680405296634373,0.07747473002434865,0.009391307506403625,AFF_B_09_01
-1.0,43,0.0029279586000272367,41,2,0.046511627906976744,0.5800375844349581,0.0007748016477522533,9.5514948628098e-05,AFF_B_09_01
"[0, inf)",497,0.033841754051477595,457,40,0.08048289738430583,-0.0045833649291360246,7.12291100429156e-07,8.903630961628912e-08,TRD_A_20
-2.0,7934,0.5402424077352581,7079,855,0.10776405344088733,-0.3266008368719753,0.06610469086133229,0.00822655579234683,TRD_A_20
